Pixel_i,Pixel_j,SVI,PD
130.0,1295.0,0.8996999859809875,0.00022129647550173104
130.0,1300.0,0.8996999859809875,4.412710950418841e-06
130.0,1305.0,0.8996999859809875,4.896108748653205e-06
130.0,1310.0,0.8996999859809875,3.681828093249351e-05
130.0,1315.0,0.8996999859809875,4.271957550372463e-06
130.0,1320.0,0.8996999859809875,4.463150162337115e-06
130.0,1325.0,0.8996999859809875,4.270071440259926e-05
130.0,1330.0,0.8996999859809875,0.004111821297556162
130.0,1335.0,0.8996999859809875,4.902563432551688e-06
130.0,1340.0,0.8996999859809875,6.759561074431986e-05
130.0,1345.0,0.8996999859809875,5.3389430831884965e-06
130.0,1350.0,0.8996999859809875,0.0001884114753920585
130.0,1355.0,0.8996999859809875,4.278580490790773e-06
130.0,1360.0,0.8996999859809875,1.2590609912876971e-05
130.0,1365.0,0.8996999859809875,2.792416125885211e-05
130.0,1370.0,0.8996999859809875,0.0005176506820134819
130.0,1375.0,0.8996999859809875,6.678224599454552e-05
130.0,1380.0,0.8996999859809875,2.4909417334129103e-05
130.0,1385.0,0.8996999859809875,4.59334432889591e-06
130.0,1390.0,0.8996999859809875,5.7604618632467464e-05
130.0,1395.0,0.8996999859809875,7.13138360879384e-05
130.0,1400.0,0.8996999859809875,4.152120163780637e-05
130.0,1405.0,0.8996999859809875,0.004675912670791149
130.0,1410.0,0.8996999859809875,0.0021842916030436754
130.0,1415.0,0.8996999859809875,0.0026761202607303858
130.0,1420.0,0.8996999859809875,4.227923272992484e-05
130.0,1425.0,0.8996999859809875,4.069037095177919e-05
130.0,1430.0,0.8996999859809875,2.3975171643542126e-05
130.0,1435.0,0.8996999859809875,1.4095079677645117e-05
130.0,1440.0,0.8996999859809875,6.078179467294831e-06
130.0,1445.0,0.8996999859809875,6.647065310971811e-05
130.0,1450.0,0.8996999859809875,5.3889452829025686e-05
130.0,1455.0,0.8996999859809875,8.065324072958902e-05
130.0,1460.0,0.8996999859809875,4.867694588028826e-05
130.0,1465.0,0.8996999859809875,2.795873660943471e-05
130.0,1470.0,0.8996999859809875,3.8842903450131416e-05
130.0,1475.0,0.8996999859809875,6.545557698700577e-05
130.0,1480.0,0.8996999859809875,0.00012945555499754846
135.0,1225.0,0.8996999859809875,0.0010161892278119922
